eid,ename,ephone
93,Leah Baruch,868778652
94,Yael Dayan,253378642
95,Leah Segal,603337689
96,Daniel Shapira,173128489
97,Itay Shapira,719512759
98,Moshe Peretz,520565806
99,Moshe Gabbay,782497317
100,Esther Biton,956801569
101,Rachel Baruch,749821715
102,Moshe Sharabi,786935779
103,Avigail Rahmani,713920343
104,Omer Shapira,901847209
105,Esther Levi,568258407
106,Tamar Baruch,831627500
107,Tamar Avraham,794075736
108,Yosef Cohen,243324070
109,Miriam Avraham,538864797
110,Itay Dayan,121276273
111,Noa Levi,549518870
112,Yosef Shimon,849665597
113,Esther Shapira,816805185
114,Natan Levi,253913615
115,Daniel Mizrahi,731877236
116,Sarah Shimon,798777797
117,Itay Gabbay,485667808
118,Avigail Gabbay,840530669
119,Shira Shalom,410285876
120,Esther Avraham,133610107
121,Sarah Sharabi,131404415
122,Sarah Baruch,752218016
123,Yonatan Malka,658733063
124,Aharon Malka,709073391
125,Avigail Dayan,905412392
126,Yosef Baruch,965095428
127,Miriam Dayan,828727150
128,Avigail Tzadok,149915969
129,Miriam Shapira,142148983
130,Yonatan Dayan,215181780
131,David Tzadok,636162774
132,Shira Malka,437133451
133,Yosef Gabbay,206690597
134,Yael Peretz,569192956
135,David Tamir,957472835
136,Aharon Tzadok,775921260
137,Avigail Mizrahi,159113172
138,Miriam Tzadok,495835302
139,Miriam Shimon,751259075
140,Itay Baruch,441040770
141,Avigail Cohen,297727502
142,Aharon Levi,220999925
143,Moshe Avraham,485433283
144,Tamar Peretz,728871897
145,Yael Rahmani,266369430
146,Rachel Rahmani,702731715
147,Esther Tamir,169065732
148,Yosef Tamir,245903734
149,Itay Biton,830365043
150,Daniel Dayan,682230945
151,Daniel Levi,203570681
152,Aharon Mizrahi,659179148
153,Itay Segal,210572242
154,Avigail Ezra,729241023
155,Itay Avraham,398461135
156,David Avraham,746761956
157,Leah Ezra,315352902
158,Noa Shimon,317568248
159,Aharon Ezra,167763931
160,Yosef Sharabi,207052685
161,Itay Shalom,310249964
162,Noa Mizrahi,542600534
163,Esther Sharabi,796211144
164,Tamar Rahmani,346177692
165,Esther Cohen,513385905
166,Noa Ezra,736354551
167,Itay Cohen,175953064
168,Itay Peretz,424302316
169,Esther Katz,322469727
170,Avigail Sharabi,454204272
171,Tamar Sharabi,899704318
172,Esther Shimon,435135804
173,Rachel Dayan,821824263
174,Yael Ezra,522364216
175,Leah Sharabi,738193639
176,Moshe Malka,410643076
177,David Katz,881250683
178,Yosef Rahmani,121529344
179,Noa Biton,211827018
180,Omer Dayan,799184781
181,Moshe Baruch,681237038
182,Leah Tzadok,780326748
183,David Biton,780236943
184,Rachel Mizrahi,206847521
185,Eli Sharabi,655252767
186,Shira Tamir,474156289
187,Natan Katz,967073892
188,Daniel Shimon,941938359
189,Omer Biton,608701050
190,Noa Gabbay,784623035
191,Rachel Levi,667805624
192,Moshe Tamir,439936891
193,Yael Shalom,431436929
194,Yael Gabbay,816189584
195,Omer Baruch,421267994
196,Rachel Peretz,711190898
197,Avigail Levi,716777112
198,Sarah Biton,426546936
199,Moshe Segal,992243520
200,David Ezra,407764739
201,Miriam Mizrahi,695759962
202,Esther Tzadok,190898944
203,Sarah Shapira,491320490
204,Omer Shimon,673949431
205,Leah Rahmani,731201993
206,Avigail Biton,466339903
207,Esther Peretz,203609223
208,Avigail Katz,918889094
209,Moshe Katz,507997151
210,Noa Shapira,696504489
211,Yael Sharabi,456057686
212,Aharon Biton,737272870
213,Leah Mizrahi,697683488
214,Daniel Baruch,737962928
215,David Shapira,990958022
216,Aharon Cohen,797085207
217,Leah Tamir,162475421
218,David Rahmani,263991352
219,Daniel Tamir,951306581
220,Aharon Katz,384759921
221,Shira Gabbay,518874103
222,Rachel Malka,108095861
223,Eli Malka,120844792
224,Yonatan Shapira,288915179
225,Shira Dayan,575951601
226,Rachel Biton,378323762
227,Itay Rahmani,359607412
228,Avigail Baruch,695183839
229,Eli Biton,145559963
230,Tamar Dayan,928894194
231,Yonatan Rahmani,287363808
232,Yael Mizrahi,336997203
233,Noa Baruch,940660358
234,Aharon Peretz,925903231
235,Tamar Shimon,762028232
236,Yosef Dayan,323621823
237,Miriam Katz,611278692
238,Avigail Avraham,424942668
239,Eli Tamir,556087894
240,Leah Katz,458866170
241,Yonatan Avraham,608234830
242,Itay Ezra,398619142
243,Yonatan Levi,900368281
244,Noa Malka,160328991
245,Aharon Gabbay,553779564
246,Tamar Shapira,758023173
247,Moshe Biton,889297371
248,Natan Tzadok,751520378
249,Yonatan Biton,710607320
250,Yonatan Cohen,132871079
251,Miriam Gabbay,883122927
252,Eli Ezra,254560201
253,Yonatan Tzadok,985490226
254,Yosef Tzadok,121241088
255,Tamar Ezra,764942485
256,Aharon Dayan,850820152
257,Aharon Sharabi,856917381
258,Natan Baruch,331027851
259,Eli Peretz,695633976
260,Eli Tzadok,551584390
261,Esther Baruch,932927944
262,Omer Mizrahi,728471156
263,Leah Shalom,508727463
264,Aharon Shimon,206160748
265,Yosef Katz,500948323
266,Sarah Peretz,785547151
267,Yael Biton,247478066
268,Daniel Katz,774358403
269,Moshe Shimon,157049780
270,Sarah Malka,723478287
271,Noa Tamir,247992245
272,Eli Baruch,606444905
273,Avigail Shapira,939552687
274,Omer Sharabi,691364430
275,Aharon Avraham,963469957
276,Yosef Malka,536219603
277,Daniel Segal,832494446
278,Itay Tamir,947582306
279,Esther Segal,458852013
280,David Malka,788105589
281,Rachel Ezra,264542762
282,Miriam Ezra,386672212
283,Miriam Segal,701419917
284,Miriam Levi,594126089
285,Yael Tamir,938907485
286,David Peretz,556643902
287,Aharon Tamir,749997411
288,Natan Segal,835048347
289,Natan Sharabi,175313602
290,Yael Tzadok,217753697
291,Yael Shimon,604621621
292,Aharon Rahmani,561304766
293,Shira Mizrahi,829532405
294,Tamar Shalom,198581112
295,Yonatan Mizrahi,390468109
296,Shira Levi,191775531
297,Aharon Shalom,192034943
298,Tamar Mizrahi,131780826
299,Sarah Shalom,548048229
300,Leah Malka,491697394
301,Tamar Biton,476981559
302,Yael Segal,365888328
303,Noa Rahmani,376896458
304,Aharon Shapira,801158412
305,Yonatan Ezra,779570805
306,Moshe Rahmani,689167516
307,Daniel Malka,557705366
308,Moshe Shapira,692164924
309,Eli Gabbay,729756528
310,David Levi,194090584
311,Leah Gabbay,299578877
312,Moshe Ezra,333233663
313,Itay Sharabi,868417332
314,Leah Cohen,592375129
315,Omer Avraham,557029533
316,David Dayan,155097670
317,Daniel Sharabi,146135696
318,Sarah Dayan,738118771
319,Yonatan Gabbay,179678742
320,Yosef Mizrahi,232495441
321,Daniel Shalom,620419598
322,Omer Rahmani,912077183
323,David Cohen,893626749
324,Daniel Rahmani,682236751
325,Rachel Shimon,527493996
326,Leah Shimon,921326081
327,Eli Avraham,398015217
328,Eli Cohen,203721359
329,Noa Tzadok,990269553
330,Rachel Katz,397839765
331,Leah Biton,853567969
332,Moshe Levi,387499759
333,David Segal,330887729
334,David Baruch,201585166
335,Natan Shapira,370716533
336,Shira Cohen,199744068
337,Sarah Tzadok,672502403
338,Leah Levi,138238092
339,David Mizrahi,180061773
340,Shira Sharabi,673941342
341,Shira Baruch,325608565
342,Yonatan Baruch,390855751
343,Sarah Ezra,917777245
344,Shira Shapira,839354582
345,David Sharabi,190350957
346,Yonatan Shalom,410367455
347,Omer Cohen,750521401
348,Rachel Avraham,299429777
349,Natan Peretz,350411920
350,Sarah Avraham,416361661
351,Leah Dayan,204388838
352,Rachel Segal,142344662
353,Noa Dayan,795444152
354,Omer Segal,294119019
355,Moshe Shalom,109299425
356,Daniel Gabbay,161075828
357,David Shimon,895766660
358,Daniel Tzadok,945643162
359,Sarah Katz,190091995
360,Shira Biton,325622687
361,Eli Shimon,106123085
362,Yonatan Sharabi,165194902
363,Esther Shalom,531432206
364,Avigail Tamir,740724386
365,Miriam Shalom,580237413
366,Noa Segal,550531230
367,Rachel Gabbay,127703721
368,Tamar Katz,759215639
369,Tamar Cohen,485796803
370,Omer Katz,264899190
371,Daniel Ezra,143889628
372,Leah Shapira,530480722
373,Eli Segal,769242638
374,Rachel Sharabi,158150074
375,Tamar Segal,941486578
376,Yosef Avraham,631212476
377,Noa Shalom,329814637
378,Sarah Levi,561684860
379,Shira Shimon,800148114
380,Natan Shalom,608502854
381,Miriam Biton,260960770
382,Moshe Cohen,421758103
383,Natan Dayan,991810101
384,Noa Cohen,676210906
385,Natan Tamir,239828453
386,Rachel Tamir,905775140
387,Aharon Segal,623540867
388,Itay Mizrahi,153918683
389,Yael Levi,118401503
390,Moshe Dayan,855249613
391,Daniel Avraham,593552258
392,Noa Sharabi,911529971
393,Shira Katz,512745263
394,Yael Malka,821764157
395,Rachel Shalom,513121724
396,Omer Ezra,615099883
397,Tamar Tamir,520588647
398,Tamar Levi,591453255
399,Tamar Malka,127281563
400,Natan Mizrahi,246549108
